file,line,control_type,label,text,title,aria_label,role,aria_controls,aria_expanded,aria_haspopup,target,id,classes,context_signature,is_menu_item,is_dropdown_trigger,placement
docs/index.html,41,button,Sessions ▸,Sessions ▸,,,,,,,menuSessionsBtn,menuSessionsBtn,menu-link menu-sessions-trigger,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper button menu-link menu-sessions-trigger menusessionsbtn,yes,yes,header_menu
docs/index.html,43,a,Session 1,Session 1,,,,,,,/kybalion/docs/session-01/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,44,a,Session 2,Session 2,,,,,,,/kybalion/docs/session-02/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,45,a,Session 3,Session 3,,,,,,,/kybalion/docs/session-03/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,46,a,Session 4,Session 4,,,,,,,/kybalion/docs/session-04/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,47,a,Session 5,Session 5,,,,,,,/kybalion/docs/session-05/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,48,a,Session 6,Session 6,,,,,,,/kybalion/docs/session-06/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,49,a,Session 7,Session 7,,,,,,,/kybalion/docs/session-07/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,50,a,Session 8,Session 8,,,,,,,/kybalion/docs/session-08/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,51,a,Session 9,Session 9,,,,,,,/kybalion/docs/session-09/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,52,a,Session 10,Session 10,,,,,,,/kybalion/docs/session-10/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,53,a,Session 11,Session 11,,,,,,,/kybalion/docs/session-11/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,54,a,Session 12,Session 12,,,,,,,/kybalion/docs/session-12/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/index.html,57,a,Templates,Templates,,,,,,,/kybalion/docs/templates/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
